id,count
0,84.24
1,235.55
2,96.7
4,26.56
5,83.2
10,109.79
11,95.29
12,322.29
15,43.02
17,132.24
18,301.33
23,246.69
25,84.98
26,43.21
31,201.18
39,137.79
40,26.24
41,199.43
42,386.95
43,164.9
51,184.5
52,77.48
54,18.6
60,128.02
61,141.98
62,105.15
63,32.45
65,99.74
66,114.58
68,111.66
71,67.3
80,30.64
82,68.89
94,132.7
98,256.18
101,36.52
102,134.13
107,172.01
112,246.35
113,74.93
115,49.91
116,113.37
120,123.26
121,79.25
122,331.08
132,200.79
143,81.76
147,65.73
150,15.95
151,85.73
152,203.83
153,89.15
155,187.6
156,104.83
159,141.38
161,100.68
163,47.11
177,159.24
186,15.03
188,17.78
190,74.67
191,86.64
192,270.38
195,318.56
200,144.7
209,317.29
210,16.23
211,216.95
214,157.17
215,22.95
218,106.52
219,35.11
222,123.5
225,14.61
228,314.5
236,154.96
241,37.8
242,155.28
243,201.57
245,17.77
247,246.6
251,124.98
252,68.4
253,85.18
254,87.13
258,316.18
260,47.6
261,164.87
265,85.01
266,274.19
267,319.63
269,141.48
270,66.63
275,104.37
278,38.38
279,86.9
286,83.91
287,28.92
288,214.83
289,143.62
293,17.78
294,149.75
297,29.08
302,127.57
303,78.97
304,70.47
307,101.79
309,17.97
311,171.19
312,137.02
314,180.59
315,157.65
319,146.91
322,107.43
323,63.11
325,114.24
327,231.72
330,39.87
332,154.93
333,15.87
338,104.8
341,112.83
345,204.05
348,91.57
349,47.08
350,109.33
352,45.22
355,14.97
356,225.77
358,51.37
363,129.92
369,190.95
371,17.32
372,148.08
375,300.92
380,121.4
388,43.96
391,132.42
392,279.19
393,383.03
394,210.64
396,26.28
401,35.94
407,76.8
409,103.44
410,113.77
416,77.26
418,116.11
420,154.74
421,218.39
422,119.71
424,286.28
428,375.11
429,221.87
431,168.02
435,12.74
439,97.4
441,13.8
447,80.87
449,117.41
451,123.93
452,17.95
454,218.32
458,241.83
463,130.19
467,15.27
470,248.59
471,146.93
474,295.63
478,15.21
483,131.22
484,119.34
485,83.28
486,132.29
491,96.23
494,102.51
495,237.4
497,208.09
499,154.02
515,120.07
518,231.75
521,182.19
525,151.92
529,246.52
532,130.18
534,83.78
540,95.91
544,294.22
547,166.24
549,43.73
563,38.16
564,174.2
567,130.99
572,118.1
577,107.61
578,223.48
585,378.51
588,131.5
589,121.79
590,105.72
592,17.37
594,247.59
596,16.04
598,383.97
599,135.85
605,35.07
606,123.57
607,263.05
608,205.02
609,62.85
610,286.34
611,194.34
614,123.83
615,208.79
616,245.51
617,124.0
618,243.98
624,122.77
629,137.74
631,94.23
633,88.24
637,24.18
638,101.94
643,65.82
644,140.8
645,37.64
646,208.24
648,187.68
650,36.08
651,199.08
652,271.42
656,112.51
657,19.5
659,101.46
660,201.79
662,101.54
665,379.41
675,328.85
681,144.22
682,218.08
685,17.99
686,148.88
689,23.09
696,161.61
703,145.95
704,95.62
705,134.61
714,235.58
717,96.56
718,14.26
720,60.0
721,247.24
723,220.69
726,202.17
728,158.41
730,211.28
731,26.57
734,343.96
737,72.39
738,16.28
745,145.82
746,24.78
749,230.29
752,22.95
753,166.71
758,233.39
765,15.11
766,219.21
768,84.88
769,191.99
774,129.9
775,96.31
781,51.51
784,337.56
794,18.02
795,280.83
796,79.77
802,178.73
803,220.44
805,34.48
806,292.42
807,99.17
809,14.56
810,173.19
812,201.22
814,123.94
818,251.91
819,143.09
825,58.58
836,101.69
839,124.66
847,262.52
848,171.36
851,104.66
852,140.19
853,32.6
857,143.18
858,45.15
859,243.16
861,24.14
867,98.28
870,232.21
871,206.89
872,211.76
874,346.46
881,175.77
886,140.88
890,50.48
895,144.88
899,89.62
900,274.17
901,256.89
902,176.21
903,41.92
913,248.62
918,176.44
923,130.25
924,39.43
926,25.33
927,18.26
930,225.14
934,32.0
937,127.62
939,88.5
941,79.05
942,385.16
946,290.13
950,100.86
953,69.38
959,94.6
961,27.51
962,87.27
964,91.6
969,189.07
971,147.83
976,45.04
978,246.14
980,246.38
981,128.17
990,386.13
993,18.49
996,20.77
998,348.29
999,162.16
1006,110.22
1008,14.37
1013,26.17
1015,105.04
1016,123.57
1022,318.14
1026,214.93
1028,222.18
1031,77.47
1034,46.26
1037,131.02
1040,66.93
1042,17.45
1046,18.65
1048,100.62
1049,109.63
1050,67.41
1051,219.17
1052,236.24
1055,215.57
1060,141.04
1064,26.41
1066,71.59
1071,101.88
1073,14.49
1089,197.99
1091,95.46
1092,61.64
1093,243.62
1096,326.59
1097,230.13
1098,16.62
1099,37.18
1102,203.53
